place_id	name	stored	storedSection	live	primary_type	types
ChIJw39QsBpXw4gRt1QugbY5miM	CoolToday Park	food	Food	Activities	stadium	stadium,sports_complex,athletic_field,bar,event_venue,sports_activity_location,restaurant,food,point_of_interest,establishment
ChIJM7NRWLNbw4gR3p6-5cVYjVU	Detwiler's Farm Market	shopping	Shopping	Food	grocery_store	grocery_store,butcher_shop,farmers_market,ice_cream_shop,deli,market,dessert_shop,confectionery,manufacturer,service,food_store,food,store,point_of_interest,establishment
ChIJka9q_pRXw4gRf8YtshyxdzE	Clubhouse at Boca Royale Golf & Country Club	food	Food	Activities	golf_course	golf_course,banquet_hall,athletic_field,sports_club,event_venue,sports_activity_location,association_or_organization,restaurant,food,point_of_interest,service,establishment
ChIJXcci0V5bw4gRR2WIcVnaHV0	Food + Beer - Florida Sports Bar	food	Food	Nightlife	sports_bar	sports_bar,gastropub,brunch_restaurant,hamburger_restaurant,bar_and_grill,american_restaurant,chicken_wings_restaurant,bar,restaurant,food,point_of_interest,establishment
ChIJJf-bNbtbw4gRHZIUmtfxsIM	T J Carney's	food	Food	Nightlife	bar_and_grill	bar_and_grill,bar,restaurant,food,point_of_interest,establishment
ChIJX0n7e61bw4gRhVQp0f6eQ7o	Bogey's Sports Pub	food	Food	Nightlife	sports_bar	sports_bar,family_restaurant,hamburger_restaurant,pizza_restaurant,american_restaurant,chicken_wings_restaurant,bar,restaurant,food,point_of_interest,establishment
ChIJ5eVNwaRbw4gRiM-NqzXz6rE	Venice Florida Farmers Market	shopping	Shopping	Activities	farmers_market	farmers_market,tourist_attraction,market,point_of_interest,establishment
ChIJQwg-91Jaw4gRU5HdBO-u8CU	Bay Indies	hotels	Hotels	Activities	mobile_home_park	mobile_home_park,rv_park,lodging,service,point_of_interest,establishment
ChIJbQNDy7es3IgRW5CMcoFasOA	Walmart Neighborhood Market	shopping	Shopping	Food	grocery_store	grocery_store,cake_shop,discount_supermarket,department_store,deli,discount_store,supermarket,bakery,manufacturer,market,food_store,wholesaler,store,point_of_interest,food,establishment
ChIJY25_lbmr3IgROp9usJPBoxc	Treasure Lanes	food	Food	Activities	bowling_alley	bowling_alley,video_arcade,cocktail_bar,sports_complex,bar,sports_activity_location,restaurant,food,point_of_interest,establishment
ChIJk9nKkZapxIgRif2n5NGa_Jw	The End Zone Sports Grille	food	Food	Nightlife	sports_bar	sports_bar,bar,restaurant,food,point_of_interest,establishment
ChIJyXOEiLur3IgRf28IAnoMOPI	Tobacco Locker Cigar Bar	food	Food	Nightlife	store	wine_bar,bar_and_grill,liquor_store,bar,store,restaurant,food,point_of_interest,establishment
ChIJRXdy1tBXw4gRB12NGUfUVJ8	Englewood Billiards & Brew	food	Food	Nightlife	sports_complex	sports_bar,pizza_delivery,italian_restaurant,meal_delivery,pizza_restaurant,sports_complex,bar,food_delivery,sports_club,event_venue,sports_activity_location,association_or_organization,restaurant,food,point_of_interest,establishment
ChIJY25_lbmr3IgR2dngLceZM0A	Broad Street Bar & Grill	food	Food	Nightlife	bar_and_grill	bar_and_grill,bar,restaurant,food,point_of_interest,establishment
ChIJp0uFx2RUw4gRO4bEAnhGqeM	La Casa Mobile Home Park	hotels	Hotels	Activities	mobile_home_park	mobile_home_park,real_estate_agency,rv_park,lodging,service,point_of_interest,establishment
ChIJ8bNtEzlXw4gRd-YxM-u6K3s	Park Store Go	hotels	Hotels	Activities	parking_lot	parking_lot,rv_park,parking,transportation_service,storage,lodging,service,point_of_interest,establishment
ChIJD9yzP2xUw4gRxhf-QjDI2NU	Harbor Cove Residential Owned Community	hotels	Hotels	Activities	mobile_home_park	mobile_home_park,rv_park,lodging,service,point_of_interest,establishment
ChIJLyI22LOq3IgRhaPVkiduf4E	Vizcaya Lakes	hotels	Hotels	Activities	mobile_home_park	mobile_home_park,rv_park,lodging,service,point_of_interest,establishment
ChIJs8HMPKxDw4gR8rXHdqdvpmE	Ophelia's on the Bay	food	Food	Activities	restaurant	event_venue,bar,restaurant,point_of_interest,food,establishment
ChIJvYtWPXtbw4gR4vWll6xKQCM	Driftage LLC Inc	food	Food	Nightlife	bar_and_grill	bar_and_grill,bar,restaurant,food,point_of_interest,establishment
ChIJx-9K4hhQw4gRGlGNe2-FJPY	Venetian River Club	food	Food	Activities	association_or_organization	banquet_hall,wedding_venue,catering_service,event_venue,food_delivery,fine_dining_restaurant,restaurant,association_or_organization,service,food,point_of_interest,establishment
ChIJp3R2lhJAw4gRKDtrxDZI8AM	Whole Foods Market	shopping	Shopping	Food	grocery_store	grocery_store,deli,health_food_store,bakery,food_delivery,supermarket,market,food_store,food,health,point_of_interest,store,establishment
ChIJR6Dvk-BBw4gRuwoeUcPq3xE	Detwiler's Farm Market	shopping	Shopping	Food	grocery_store	grocery_store,sandwich_shop,butcher_shop,deli,ice_cream_shop,market,dessert_shop,confectionery,bakery,food_store,manufacturer,store,health,restaurant,food,point_of_interest,service,establishment
ChIJMzw7oR9Bw4gRv5lesxDVWGw	Walmart Neighborhood Market	shopping	Shopping	Food	grocery_store	grocery_store,department_store,discount_supermarket,cake_shop,discount_store,deli,supermarket,bakery,market,food_store,food,wholesaler,point_of_interest,store,manufacturer,establishment
ChIJwXQNJk1Bw4gRJRP61Kgtuv8	Livingston's Amusements	food	Food	Activities	amusement_center	amusement_center,video_arcade,go_karting_venue,race_course,bar_and_grill,sports_complex,event_venue,bar,family_restaurant,sports_activity_location,restaurant,point_of_interest,food,establishment
ChIJ3-wcgLJBw4gR9UGr_yLsHJY	CMX CinéBistro Siesta Key	food	Food	Activities	movie_theater	movie_theater,bar,restaurant,point_of_interest,food,establishment
ChIJR0-AwqdAw4gR6McIzffF4BA	Bobby Jones Golf Club	food	Food	Activities	golf_course	golf_course,bar_and_grill,city_park,nature_preserve,tourist_attraction,bar,athletic_field,sports_activity_location,park,restaurant,food,point_of_interest,establishment
ChIJVaN0nNZDw4gRZr-D4qxm-oo	Bowlero Gulf Gate	food	Food	Activities	bowling_alley	bowling_alley,sports_bar,video_arcade,bar_and_grill,sporting_goods_store,sports_complex,event_venue,bar,store,sports_club,association_or_organization,sports_activity_location,restaurant,point_of_interest,food,establishment
ChIJJ1O7nANrw4gRH8y1qHMjpRs	Arcade Monsters	food	Food	Activities	video_arcade	video_arcade,amusement_center,bar,restaurant,point_of_interest,food,establishment
ChIJfUQhu7hBw4gRaYzVLf4ssEo	The Field Club	beach	Activities	Nightlife	marina	bar,marina,sports_club,point_of_interest,association_or_organization,service,establishment
ChIJV88hOOxAw4gROgsZGg13mkA	Pinecraft Amish Community	hotels	Hotels	Activities	lodging	garden,lodging,association_or_organization,park,point_of_interest,establishment
ChIJrynCZu8_w4gR8rDlKGcCg90	Walmart Neighborhood Market	shopping	Shopping	Food	grocery_store	grocery_store,discount_supermarket,department_store,discount_store,cake_shop,supermarket,bakery,deli,market,food_store,manufacturer,store,wholesaler,point_of_interest,food,establishment
ChIJJa2F9rpGw4gRz3TnWxkF6jo	Walmart Neighborhood Market	shopping	Shopping	Food	grocery_store	grocery_store,department_store,discount_supermarket,cake_shop,discount_store,deli,supermarket,bakery,market,food_store,food,wholesaler,point_of_interest,store,manufacturer,establishment
ChIJATacWyI5w4gR-qfYvgyJnfk	PopStroke	food	Food	Activities	miniature_golf_course	miniature_golf_course,ice_cream_shop,sports_bar,dessert_shop,confectionery,bar,event_venue,food_store,store,point_of_interest,food,establishment
ChIJjwUZ8htHw4gR6-xAgrevYLM	Twin Peaks	food	Food	Nightlife	sports_bar	sports_bar,bar,american_restaurant,restaurant,point_of_interest,food,establishment
ChIJtXqbvWtHw4gROfKsKwXeMJQ	Detwiler's Farm Market	shopping	Shopping	Food	grocery_store	grocery_store,butcher_shop,deli,ice_cream_shop,market,dessert_shop,confectionery,food_store,manufacturer,store,food,point_of_interest,service,establishment
ChIJyYi3Yw4Ww4gRaJbXtbjk_oc	Good Liquid Brewing Company	food	Food	Nightlife	brewpub	brewpub,pub,bar,restaurant,point_of_interest,food,establishment
ChIJ373koSpHw4gRf0RWx7ew-Kc	Evie's Family Golf Center	food	Food	Nightlife	sports_activity_location	bar_and_grill,bar,ice_cream_shop,dessert_shop,confectionery,food_store,store,sports_activity_location,restaurant,point_of_interest,food,establishment
ChIJN2G5Gs1Hw4gR7z1XHaHYVO8	Food + Beer - Florida Sports Bar	food	Food	Nightlife	sports_bar	sports_bar,brunch_restaurant,chicken_wings_restaurant,bar_and_grill,hamburger_restaurant,american_restaurant,gastropub,bar,restaurant,point_of_interest,food,establishment
ChIJHdkh4ZJGw4gRttusUBlyz54	Camelot East Village	hotels	Hotels	Activities	mobile_home_park	mobile_home_park,rv_park,lodging,point_of_interest,service,establishment
ChIJB8jiRJVGw4gRk_HiIAZQzQU	Camelot Lakes Village	hotels	Hotels	Activities	mobile_home_park	mobile_home_park,rv_park,lodging,point_of_interest,service,establishment
ChIJB_GKfW81w4gRsCQHi5hjasA	Dakin Dairy Farm Market & Cafe	shopping	Shopping	Food	food_store	cafe,food_store,food,point_of_interest,store,establishment
ChIJSwkmjpkRw4gRSkHtkHlTv_U	The Kokonut Hut	food	Food	Nightlife	bar_and_grill	bar_and_grill,bar,restaurant,food,point_of_interest,establishment
ChIJdSTXeTYQw4gROh9O-H_R6jQ	Hurricane Hanks	food	Food	Nightlife	restaurant	cocktail_bar,fine_dining_restaurant,seafood_restaurant,bar,restaurant,food,point_of_interest,establishment
ChIJK5PuESkXw4gRdjtAdXN3oO4	Five Nine Grill & Tavern	food	Food	Nightlife	sports_bar	sports_bar,bar,american_restaurant,restaurant,food,point_of_interest,establishment
ChIJy5Lz3RAVw4gRYzH917BRjxo	Detwiler's Farm Market	shopping	Shopping	Food	grocery_store	grocery_store,ice_cream_shop,deli,dessert_shop,confectionery,butcher_shop,meal_takeaway,market,manufacturer,food_store,restaurant,food,health,point_of_interest,store,service,establishment
ChIJ-1_UDBs_w4gRvIMj4gJYjNo	Detwiler's Farm Market	shopping	Shopping	Food	grocery_store	grocery_store,deli,butcher_shop,farmers_market,bakery,meal_takeaway,market,ice_cream_shop,dessert_shop,confectionery,manufacturer,food_store,store,health,restaurant,food,point_of_interest,service,establishment
ChIJqQsqj80Xw4gRev0L3y4_-lM	O'bricks Irish Pub & Martini Bar	food	Food	Nightlife	bar_and_grill	bar_and_grill,bar,restaurant,food,point_of_interest,establishment
ChIJObkCSmIWw4gRQDAhWKrjxxU	Bowlero Bradenton	food	Food	Activities	bowling_alley	bowling_alley,sports_bar,video_arcade,bar_and_grill,sporting_goods_store,sports_complex,event_venue,bar,store,sports_club,association_or_organization,sports_activity_location,restaurant,point_of_interest,food,establishment
ChIJb4Nc-dk4w4gRBAKqAMOLg28	Whole Foods Market	shopping	Shopping	Food	grocery_store	grocery_store,health_food_store,deli,bakery,supermarket,market,food_delivery,food_store,store,health,food,point_of_interest,establishment
ChIJ6UfZV4A5w4gRXcJtOJX_4RQ	Yard House	food	Food	Nightlife	american_restaurant	sports_bar,bar_and_grill,vegetarian_restaurant,meal_takeaway,gastropub,bar,american_restaurant,restaurant,point_of_interest,food,establishment
ChIJsYtTeeM4w4gRRLv8RnmCiTk	EVEN Hotel Sarasota-Lakewood Ranch by IHG	hotels	Hotels	Activities	hotel	wellness_center,fitness_center,spa,gym,hotel,lodging,sports_activity_location,health,point_of_interest,establishment
ChIJvSxLO-APw4gRQaKnDujbiZg	Harry's Grill	food	Food	Nightlife	restaurant	beer_garden,wine_bar,bar,restaurant,food,point_of_interest,establishment
ChIJ1S54gcw9w4gRFyFsgYHVIk0	Detwiler's Farm Market	shopping	Shopping	Food	grocery_store	grocery_store,sandwich_shop,butcher_shop,deli,ice_cream_shop,market,dessert_shop,confectionery,bakery,food_store,manufacturer,store,health,restaurant,food,point_of_interest,service,establishment
ChIJwbzTDQYXw4gRjZjUTMeTLYo	Oscura	nightlife	Nightlife	Activities	live_music_venue	live_music_venue,event_venue,bar,point_of_interest,establishment
ChIJEbK_wJ4Xw4gRRZsLjrvJLWY	Tropic Isles Co-Op, Inc.	hotels	Hotels	Activities	mobile_home_park	mobile_home_park,marina,rv_park,lodging,store,point_of_interest,service,establishment
ChIJ92BMOdIjw4gRg6Wp0ckeaNs	Bayside Mobile Marine & Yacht Management	beach	Activities	Shopping	store	electronics_store,marina,sports_club,store,point_of_interest,association_or_organization,service,establishment
ChIJay8TEmElw4gRmgRP3SXl7eM	Good Liquid Brewing - Parrish Creekside Commons	food	Food	Nightlife	brewpub	brewpub,pub,bar,restaurant,food,point_of_interest,establishment
ChIJqaxUi8w8w4gRroFJlc-sNW0	WingHouse Bar & Grill	food	Food	Nightlife	bar_and_grill	bar_and_grill,sports_bar,pizza_delivery,hamburger_restaurant,meal_delivery,meal_takeaway,pizza_restaurant,american_restaurant,chicken_wings_restaurant,bar,food_delivery,restaurant,food,point_of_interest,establishment
ChIJgTrJSr0jw4gRhhdNk-hyIQw	Moccasin Wallow Golf Club/ The MOC Bar and Grill	food	Food	Nightlife	sports_club	bar,sports_club,association_or_organization,restaurant,food,point_of_interest,establishment
ChIJf-lmUQA7w4gRH9ESUlvpBP4	Seasons 52	food	Food	Nightlife	american_restaurant	wine_bar,steak_house,fine_dining_restaurant,vegan_restaurant,vegetarian_restaurant,meal_takeaway,american_restaurant,seafood_restaurant,bar,restaurant,food,point_of_interest,establishment
ChIJLSCXKHcjw4gRAr3pXqHJPVY	Shadow Brook	hotels	Hotels	Activities	mobile_home_park	mobile_home_park,rv_park,lodging,service,point_of_interest,establishment
ChIJI6sAmu4kw4gR5vMEnsC2AS8	The Gardens 55+ Lifestyle Community	hotels	Hotels	Activities	service	housing_complex,mobile_home_park,rv_park,lodging,service,point_of_interest,establishment
ChIJdfMVpqUlw4gRdStpuZ5lUsM	Veranda Springs Mobile Home Park	hotels	Hotels	Activities	mobile_home_park	mobile_home_park,rv_park,lodging,service,point_of_interest,establishment
ChIJ6WsFqrQ8w4gRyGj69jd_Vy4	Ridgewood Estates	hotels	Hotels	Activities	mobile_home_park	mobile_home_park,rv_park,lodging,service,point_of_interest,establishment
ChIJM7GyrFAjw4gRjYS7KY20BQ4	Terra Siesta Co-Op	hotels	Hotels	Activities	mobile_home_park	mobile_home_park,rv_park,real_estate_agency,lodging,service,point_of_interest,establishment
